"","Ranking_2013","Brand","BrandValue_2013","PercentChangeinBV_2013","Sector","Region","Country"
"1",1,"Apple",98316,28,"Technology","The Americas","United States"
"2",2,"Google",93291,34,"Technology","The Americas","United States"
"3",3,"Coca-Cola",79213,2,"Beverages","The Americas","United States"
"4",4,"IBM",78808,4,"Business Services","The Americas","United States"
"5",5,"Microsoft",59546,3,"Technology","The Americas","United States"
"6",6,"GE",46947,7,"Diversified","The Americas","United States"
"7",7,"McDonald's",41992,5,"Restaurants","The Americas","United States"
"8",8,"Samsung",39610,20,"Technology","Asia Pacific","South Korea"
"9",9,"Intel",37257,-5,"Technology","The Americas","United States"
"10",10,"Toyota",35346,17,"Automotive","Asia Pacific","Japan"
"11",11,"Mercedes-Benz",31904,6,"Automotive","Europe & Africa","Germany"
"12",12,"BMW",31839,10,"Automotive","Europe & Africa","Germany"
"13",13,"Cisco",29053,7,"Technology","The Americas","United States"
"14",14,"Disney",28147,3,"Media","The Americas","United States"
"15",15,"HP",25843,-1,"Technology","The Americas","United States"
"16",16,"Gillette",25105,1,"FMCG","The Americas","United States"
"17",17,"Louis Vuitton",24893,6,"Luxury","Europe & Africa","France"
"18",18,"Oracle",24088,9,"Technology","The Americas","United States"
"19",19,"Amazon",23620,27,"Retail","The Americas","United States"
"20",20,"Honda",18490,7,"Automotive","Asia Pacific","Japan"
"21",21,"H&M",18168,10,"Apparel","Europe & Africa","Sweden"
"22",22,"Pepsi",17892,8,"Beverages","The Americas","United States"
"23",23,"American Express",17646,12,"Financial Services","The Americas","United States"
"24",24,"Nike",17085,13,"Sporting Goods","The Americas","United States"
"25",25,"SAP",16676,7,"Technology","Europe & Africa","Germany"
"26",26,"IKEA",13818,8,"Retail","Europe & Africa","Sweden"
"27",27,"UPS",13763,5,"Logistics","The Americas","United States"
"28",28,"eBay",13162,20,"Retail","The Americas","United States"
"29",29,"Pampers",13035,15,"FMCG","The Americas","United States"
"30",30,"Kellogg's",12987,8,"FMCG","The Americas","United States"
"31",31,"Budweiser",12614,6,"Alcohol","The Americas","United States"
"32",32,"HSBC",12183,7,"Financial Services","Europe & Africa","United Kingdom"
"33",33,"J.P. Morgan",11456,0,"Financial Services","The Americas","United States"
"34",34,"Volkswagen",11120,20,"Automotive","Europe & Africa","Germany"
"35",35,"Canon",10989,-9,"Electronics","Asia Pacific","Japan"
"36",36,"Zara",10821,14,"Apparel","Europe & Africa","Spain"
"37",37,"NESCAFÉ",10651,-4,"Beverages","Europe & Africa","Switzerland"
"38",38,"Gucci",10151,7,"Luxury","Europe & Africa","Italy"
"39",39,"L'Oréal",9874,12,"FMCG","Europe & Africa","France"
"40",40,"Philips",9813,8,"Electronics","Europe & Africa","Netherlands"
"41",41,"Accenture",9471,8,"Business Services","The Americas","United States"
"42",42,"Ford",9181,15,"Automotive","The Americas","United States"
"43",43,"Hyundai",9004,20,"Automotive","Asia Pacific","South Korea"
"44",44,"Goldman Sachs",8536,12,"Financial Services","The Americas","United States"
"45",45,"Siemens",8503,13,"Diversified","Europe & Africa","Germany"
"46",46,"Sony",8408,-8,"Electronics","Asia Pacific","Japan"
"47",47,"Thomson Reuters",8103,-4,"Media","The Americas","Canada"
"48",48,"Citi",7973,5,"Financial Services","The Americas","United States"
"49",49,"Danone",7968,6,"FMCG","Europe & Africa","France"
"50",50,"Colgate",7833,2,"FMCG","The Americas","United States"
"51",51,"Audi",7767,8,"Automotive","Europe & Africa","Germany"
"52",52,"Facebook",7732,43,"Technology","The Americas","United States"
"53",53,"Heinz",7648,-1,"FMCG","The Americas","United States"
"54",54,"Hermès",7616,23,"Luxury","Europe & Africa","France"
"55",55,"adidas",7535,12,"Sporting Goods","Europe & Africa","Germany"
"56",56,"Nestlé",7527,9,"FMCG","Europe & Africa","Switzerland"
"57",57,"Nokia",7444,-65,"Technology","Europe & Africa","Finland"
"58",58,"Caterpillar",7125,13,"Diversified","The Americas","United States"
"59",59,"AXA",7096,5,"Financial Services","Europe & Africa","France"
"60",60,"Cartier",6897,26,"Luxury","Europe & Africa","France"
"61",61,"Dell",6845,-10,"Technology","The Americas","United States"
"62",62,"Xerox",6779,1,"Business Services","The Americas","United States"
"63",63,"Allianz",6710,8,"Financial Services","Europe & Africa","Germany"
"64",64,"Porsche",6471,26,"Automotive","Europe & Africa","Germany"
"65",65,"Nissan",6203,25,"Automotive","Asia Pacific","Japan"
"66",66,"KFC",6192,3,"Restaurants","The Americas","United States"
"67",67,"Nintendo",6086,-14,"Electronics","Asia Pacific","Japan"
"68",68,"Panasonic",5821,1,"Electronics","Asia Pacific","Japan"
"69",69,"Sprite",5811,2,"Beverages","The Americas","United States"
"70",70,"Discovery",5756,0,"Media","The Americas","United States"
"71",71,"Morgan Stanley",5724,-21,"Financial Services","The Americas","United States"
"72",72,"Prada",5570,30,"Luxury","Europe & Africa","Italy"
"73",73,"Shell",5535,16,"Energy","Europe & Africa","Netherlands"
"74",74,"Visa",5465,11,"Financial Services","The Americas","United States"
"75",75,"Tiffany & Co.",5440,5,"Luxury","The Americas","United States"
"76",76,"3M",5413,16,"Diversified","The Americas","United States"
"77",77,"Burberry",5189,20,"Luxury","Europe & Africa","United Kingdom"
"78",78,"MTV",4980,-12,"Media","The Americas","United States"
"79",79,"Adobe",4899,8,"Technology","The Americas","United States"
"80",80,"John Deere",4865,15,"Diversified","The Americas","United States"
"81",81,"Johnson & Johnson",4777,9,"FMCG","The Americas","United States"
"82",82,"Johnnie Walker",4745,10,"Alcohol","Europe & Africa","United Kingdom"
"83",83,"Kia",4708,15,"Automotive","Asia Pacific","South Korea"
"84",84,"Santander",4660,-2,"Financial Services","Europe & Africa","Spain"
"85",85,"Duracell",4645,0,"FMCG","The Americas","United States"
"86",86,"Jack Daniel's",4642,7,"Alcohol","The Americas","United States"
"87",87,"Avon",4610,-11,"FMCG","The Americas","United States"
"88",88,"Ralph Lauren",4584,14,"Apparel","The Americas","United States"
"89",89,"Chevrolet",4578,0,"Automotive","The Americas","United States"
"90",90,"Kleenex",4428,2,"FMCG","The Americas","United States"
"91",91,"Starbucks",4399,8,"Restaurants","The Americas","United States"
"92",92,"Heineken",4331,10,"Alcohol","Europe & Africa","Netherlands"
"93",93,"Corona",4276,5,"Alcohol","The Americas","Mexico"
"94",94,"Pizza Hut",4269,2,"Restaurants","The Americas","United States"
"95",95,"Smirnoff",4262,5,"Alcohol","Europe & Africa","United Kingdom"
"96",96,"Harley-Davidson",4230,10,"Automotive","The Americas","United States"
"97",97,"Mastercard",4206,8,"Financial Services","The Americas","United States"
"98",98,"Ferrari",4013,6,"Automotive","Europe & Africa","Italy"
"99",99,"Moët & Chandon",3943,3,"Alcohol","Europe & Africa","France"
"100",100,"Gap",3920,5,"Apparel","The Americas","United States"
