"","Ranking_2016","Brand","BrandValue_2016","PercentChangeinBV_2016","Sector","Region","Country"
"1",1,"Apple",178119,5,"Technology","The Americas","United States"
"2",2,"Google",133252,11,"Technology","The Americas","United States"
"3",3,"Coca-Cola",73102,-7,"Beverages","The Americas","United States"
"4",4,"Microsoft",72795,8,"Technology","The Americas","United States"
"5",5,"Toyota",53580,9,"Automotive","Asia Pacific","Japan"
"6",6,"IBM",52500,-19,"Business Services","The Americas","United States"
"7",7,"Samsung",51808,14,"Technology","Asia Pacific","South Korea"
"8",8,"Amazon",50338,33,"Retail","The Americas","United States"
"9",9,"Mercedes-Benz",43490,18,"Automotive","Europe & Africa","Germany"
"10",10,"GE",43130,2,"Diversified","The Americas","United States"
"11",11,"BMW",41535,12,"Automotive","Europe & Africa","Germany"
"12",12,"McDonald's",39381,-1,"Restaurants","The Americas","United States"
"13",13,"Disney",38790,6,"Media","The Americas","United States"
"14",14,"Intel",36952,4,"Technology","The Americas","United States"
"15",15,"Facebook",32593,48,"Technology","The Americas","United States"
"16",16,"Cisco",30948,4,"Technology","The Americas","United States"
"17",17,"Oracle",26552,-3,"Technology","The Americas","United States"
"18",18,"Nike",25034,9,"Sporting Goods","The Americas","United States"
"19",19,"Louis Vuitton",23998,8,"Luxury","Europe & Africa","France"
"20",20,"H&M",22681,2,"Apparel","Europe & Africa","Sweden"
"21",21,"Honda",22106,-4,"Automotive","Asia Pacific","Japan"
"22",22,"SAP",21293,13,"Technology","Europe & Africa","Germany"
"23",23,"Pepsi",20265,3,"Beverages","The Americas","United States"
"24",24,"Gillette",19950,-10,"FMCG","The Americas","United States"
"25",25,"American Express",18358,-3,"Financial Services","The Americas","United States"
"26",26,"IKEA",17834,8,"Retail","Europe & Africa","Sweden"
"27",27,"Zara",16766,19,"Apparel","Europe & Africa","Spain"
"28",28,"Pampers",16134,6,"FMCG","The Americas","United States"
"29",29,"UPS",15333,4,"Logistics","The Americas","United States"
"30",30,"Budweiser",15099,8,"Alcohol","The Americas","United States"
"31",31,"J.P. Morgan",14227,3,"Financial Services","The Americas","United States"
"32",32,"eBay",13136,-6,"Retail","The Americas","United States"
"33",33,"Ford",12962,12,"Automotive","The Americas","United States"
"34",34,"Hermès",12833,17,"Luxury","Europe & Africa","France"
"35",35,"Hyundai",12547,11,"Automotive","Asia Pacific","South Korea"
"36",36,"NESCAFÉ",12517,2,"Beverages","Europe & Africa","Switzerland"
"37",37,"Accenture",12033,11,"Business Services","The Americas","United States"
"38",38,"Audi",11799,14,"Automotive","Europe & Africa","Germany"
"39",39,"Kellogg's",11711,-7,"FMCG","The Americas","United States"
"40",40,"Volkswagen",11436,-9,"Automotive","Europe & Africa","Germany"
"41",41,"Philips",11336,4,"Electronics","Europe & Africa","Netherlands"
"42",42,"Canon",11081,-2,"Electronics","Asia Pacific","Japan"
"43",43,"Nissan",11066,22,"Automotive","Asia Pacific","Japan"
"44",44,"Hewlett Packard Enterprise",11027,0,"Technology","The Americas","United States"
"45",45,"L'Oréal",10930,1,"FMCG","Europe & Africa","France"
"46",46,"AXA",10579,14,"Financial Services","Europe & Africa","France"
"47",47,"HSBC",10458,-10,"Financial Services","Europe & Africa","United Kingdom"
"48",48,"HP",10386,0,"Technology","The Americas","United States"
"49",49,"Citi",10276,5,"Financial Services","The Americas","United States"
"50",50,"Porsche",9537,18,"Automotive","Europe & Africa","Germany"
"51",51,"Allianz",9528,12,"Financial Services","Europe & Africa","Germany"
"52",52,"Siemens",9415,10,"Diversified","Europe & Africa","Germany"
"53",53,"Gucci",9385,6,"Luxury","Europe & Africa","Italy"
"54",54,"Goldman Sachs",9378,-2,"Financial Services","The Americas","United States"
"55",55,"Danone",9197,7,"FMCG","Europe & Africa","France"
"56",56,"Nestlé",8708,1,"FMCG","Europe & Africa","Switzerland"
"57",57,"Colgate",8413,-1,"FMCG","The Americas","United States"
"58",58,"Sony",8315,8,"Electronics","Asia Pacific","Japan"
"59",59,"3M",8199,13,"Diversified","The Americas","United States"
"60",60,"adidas",7885,16,"Sporting Goods","Europe & Africa","Germany"
"61",61,"Visa",7747,13,"Financial Services","The Americas","United States"
"62",62,"Cartier",7738,-2,"Luxury","Europe & Africa","France"
"63",63,"Adobe",7586,21,"Technology","The Americas","United States"
"64",64,"Starbucks",7490,20,"Restaurants","The Americas","United States"
"65",65,"Morgan Stanley",7200,2,"Financial Services","The Americas","United States"
"66",66,"Thomson Reuters",6830,4,"Media","The Americas","Canada"
"67",67,"LEGO",6691,25,"FMCG","Europe & Africa","Denmark"
"68",68,"Panasonic",6365,-1,"Electronics","Asia Pacific","Japan"
"69",69,"Kia",6326,12,"Automotive","Asia Pacific","South Korea"
"70",70,"Santander",6223,2,"Financial Services","Europe & Africa","Spain"
"71",71,"Discovery",5944,-9,"Media","The Americas","United States"
"72",72,"Huawei",5835,18,"Technology","Asia Pacific","China"
"73",73,"Johnson & Johnson",5790,5,"FMCG","The Americas","United States"
"74",74,"Tiffany & Co.",5761,-9,"Luxury","The Americas","United States"
"75",75,"KFC",5742,2,"Restaurants","The Americas","United States"
"76",76,"Mastercard",5736,3,"Financial Services","The Americas","United States"
"77",77,"DHL",5708,6,"Logistics","The Americas","United States"
"78",78,"Land Rover",5696,11,"Automotive","Europe & Africa","United Kingdom"
"79",79,"FedEx",5579,9,"Logistics","The Americas","United States"
"80",80,"Harley-Davidson",5527,1,"Automotive","The Americas","United States"
"81",81,"Prada",5504,-12,"Luxury","Europe & Africa","Italy"
"82",82,"Caterpillar",5425,-9,"Diversified","The Americas","United States"
"83",83,"Burberry",5362,-9,"Luxury","Europe & Africa","United Kingdom"
