"","Ranking_2010","Brand","BrandValue_2010","PercentChangeinBV_2010","Sector","Region","Country"
"1",1,"Coca-Cola",70452,2,"Beverages","The Americas","United States"
"2",2,"IBM",64727,7,"Business Services","The Americas","United States"
"3",3,"Microsoft",60895,7,"Technology","The Americas","United States"
"4",4,"Google",43557,36,"Technology","The Americas","United States"
"5",5,"GE",42808,-10,"Diversified","The Americas","United States"
"6",6,"McDonald's",33578,4,"Restaurants","The Americas","United States"
"7",7,"Intel",32015,4,"Technology","The Americas","United States"
"8",8,"Nokia",29495,-15,"Technology","Europe & Africa","Finland"
"9",9,"Disney",28731,1,"Media","The Americas","United States"
"10",10,"HP",26867,12,"Technology","The Americas","United States"
"11",11,"Toyota",26192,-16,"Automotive","Asia Pacific","Japan"
"12",12,"Mercedes-Benz",25179,6,"Automotive","Europe & Africa","Germany"
"13",13,"Gillette",23298,2,"FMCG","The Americas","United States"
"14",14,"Cisco",23219,5,"Technology","The Americas","United States"
"15",15,"BMW",22322,3,"Automotive","Europe & Africa","Germany"
"16",16,"Louis Vuitton",21860,4,"Luxury","Europe & Africa","France"
"17",17,"Apple",21143,37,"Technology","The Americas","United States"
"18",18,"Marlboro",19961,5,"Tobacco","The Americas","United States"
"19",19,"Samsung",19491,11,"Technology","Asia Pacific","South Korea"
"20",20,"Honda",18506,4,"Automotive","Asia Pacific","Japan"
"21",21,"H&M",16136,5,"Apparel","Europe & Africa","Sweden"
"22",22,"Oracle",14881,9,"Technology","The Americas","United States"
"23",23,"Pepsi",14061,3,"Beverages","The Americas","United States"
"24",24,"American Express",13944,-7,"Financial Services","The Americas","United States"
"25",25,"Nike",13706,4,"Sporting Goods","The Americas","United States"
"26",26,"SAP",12756,5,"Technology","Europe & Africa","Germany"
"27",27,"NESCAFÉ",12753,-4,"Beverages","Europe & Africa","Switzerland"
"28",28,"IKEA",12487,4,"Retail","Europe & Africa","Sweden"
"29",29,"J.P. Morgan",12314,29,"Financial Services","The Americas","United States"
"30",30,"Budweiser",12252,4,"Alcohol","The Americas","United States"
"31",31,"UPS",11826,2,"Logistics","The Americas","United States"
"32",32,"HSBC",11561,10,"Financial Services","Europe & Africa","United Kingdom"
"33",33,"Canon",11485,10,"Electronics","Asia Pacific","Japan"
"34",34,"Sony",11356,-5,"Electronics","Asia Pacific","Japan"
"35",35,"Kellogg's",11041,6,"FMCG","The Americas","United States"
"36",36,"Amazon",9665,23,"Retail","The Americas","United States"
"37",37,"Goldman Sachs",9372,1,"Financial Services","The Americas","United States"
"38",38,"Nintendo",8990,-2,"Electronics","Asia Pacific","Japan"
"39",39,"Thomson Reuters",8976,6,"Media","The Americas","Canada"
"40",40,"Citi",8887,-13,"Financial Services","The Americas","United States"
"41",41,"Dell",8880,-14,"Technology","The Americas","United States"
"42",42,"Philips",8696,7,"Electronics","Europe & Africa","Netherlands"
"43",43,"eBay",8453,15,"Retail","The Americas","United States"
"44",44,"Gucci",8346,2,"Luxury","Europe & Africa","Italy"
"45",45,"L'Oréal",7981,3,"FMCG","Europe & Africa","France"
"46",46,"Heinz",7534,4,"FMCG","The Americas","United States"
"47",47,"Accenture",7481,-3,"Business Services","The Americas","United States"
"48",48,"Zara",7468,10,"Apparel","Europe & Africa","Spain"
"49",49,"Siemens",7315,0,"Diversified","Europe & Africa","Germany"
"50",50,"Ford",7195,3,"Automotive","The Americas","United States"
"51",51,"Colgate",6919,6,"FMCG","The Americas","United States"
"52",52,"Morgan Stanley",6911,8,"Financial Services","The Americas","United States"
"53",53,"Volkswagen",6892,6,"Automotive","Europe & Africa","Germany"
"54",54,"BlackBerry",6762,32,"Electronics","The Americas","Canada"
