"","Ranking_2011","Brand","BrandValue_2011","PercentChangeinBV_2011","Sector","Region","Country"
"77",77,"Moët & Chandon",4383,9,"Alcohol","Europe & Africa","France"
"78",78,"Jack Daniel's",4319,7,"Alcohol","The Americas","United States"
"79",79,"BARCLAYS",4259,1,"Financial Services","Europe & Africa","United Kingdom"
"80",80,"Adobe",4170,15,"Technology","The Americas","United States"
"81",81,"Pizza Hut",4092,3,"Restaurants","The Americas","United States"
"82",82,"Credit Suisse",4090,2,"Financial Services","Europe & Africa","Switzerland"
"83",83,"Johnson & Johnson",4072,-2,"FMCG","The Americas","United States"
"84",84,"Gap",4040,2,"Apparel","The Americas","United States"
"85",85,"3M",3945,10,"Diversified","The Americas","United States"
"86",86,"Corona",3924,2,"Alcohol","The Americas","Mexico"
"87",87,"Nivea",3883,4,"FMCG","Europe & Africa","Germany"
"88",88,"Johnnie Walker",3842,8,"Alcohol","Europe & Africa","United Kingdom"
"89",89,"Smirnoff",3841,6,"Alcohol","Europe & Africa","United Kingdom"
"90",90,"Nissan",3819,0,"Automotive","Asia Pacific","Japan"
"91",91,"Heineken",3809,8,"Alcohol","Europe & Africa","Netherlands"
"92",92,"UBS",3799,0,"Financial Services","Europe & Africa","Switzerland"
"93",93,"Armani",3794,10,"Luxury","Europe & Africa","Italy"
"94",94,"ZURICH",3769,8,"Financial Services","Europe & Africa","Switzerland"
"95",95,"Burberry",3732,20,"Luxury","Europe & Africa","United Kingdom"
"96",96,"Starbucks",3663,10,"Restaurants","The Americas","United States"
"97",97,"John Deere",3651,0,"Diversified","The Americas","United States"
"98",98,"HTC",3605,0,"Electronics","Asia Pacific","Taiwan"
"99",99,"Ferrari",3591,1,"Automotive","Europe & Africa","Italy"
"100",100,"Harley-Davidson",3512,7,"Automotive","The Americas","United States"
