"","Ranking_2011","Brand","BrandValue_2011","PercentChangeinBV_2011","Sector","Region","Country"
"1",1,"Coca-Cola",71861,2,"Beverages","The Americas","United States"
"2",2,"IBM",69905,8,"Business Services","The Americas","United States"
"3",3,"Microsoft",59087,-3,"Technology","The Americas","United States"
"4",4,"Google",55317,27,"Technology","The Americas","United States"
"5",5,"GE",42808,0,"Diversified","The Americas","United States"
"6",6,"McDonald's",35593,6,"Restaurants","The Americas","United States"
"7",7,"Intel",35217,10,"Technology","The Americas","United States"
"8",8,"Apple",33492,58,"Technology","The Americas","United States"
"9",9,"Disney",29018,1,"Media","The Americas","United States"
"10",10,"HP",28479,6,"Technology","The Americas","United States"
"11",11,"Toyota",27764,6,"Automotive","Asia Pacific","Japan"
"12",12,"Mercedes-Benz",27445,9,"Automotive","Europe & Africa","Germany"
"13",13,"Cisco",25309,9,"Technology","The Americas","United States"
"14",14,"Nokia",25071,-15,"Technology","Europe & Africa","Finland"
"15",15,"BMW",24554,10,"Automotive","Europe & Africa","Germany"
"16",16,"Gillette",23997,3,"FMCG","The Americas","United States"
"17",17,"Samsung",23430,20,"Technology","Asia Pacific","South Korea"
"18",18,"Louis Vuitton",23172,6,"Luxury","Europe & Africa","France"
"19",19,"Honda",19431,5,"Automotive","Asia Pacific","Japan"
"20",20,"Oracle",17262,16,"Technology","The Americas","United States"
"21",21,"H&M",16459,2,"Apparel","Europe & Africa","Sweden"
"22",22,"Pepsi",14590,4,"Beverages","The Americas","United States"
"23",23,"American Express",14572,5,"Financial Services","The Americas","United States"
"24",24,"SAP",14542,14,"Technology","Europe & Africa","Germany"
"25",25,"Nike",14528,6,"Sporting Goods","The Americas","United States"
"26",26,"Amazon",12758,32,"Retail","The Americas","United States"
"27",27,"UPS",12536,6,"Logistics","The Americas","United States"
"28",28,"J.P. Morgan",12437,1,"Financial Services","The Americas","United States"
"29",29,"Budweiser",12252,0,"Alcohol","The Americas","United States"
"30",30,"NESCAFÉ",12115,-5,"Beverages","Europe & Africa","Switzerland"
"31",31,"IKEA",11863,-5,"Retail","Europe & Africa","Sweden"
"32",32,"HSBC",11792,2,"Financial Services","Europe & Africa","United Kingdom"
"33",33,"Canon",11715,2,"Electronics","Asia Pacific","Japan"
"34",34,"Kellogg's",11372,3,"FMCG","The Americas","United States"
"35",35,"Sony",9880,-13,"Electronics","Asia Pacific","Japan"
"36",36,"eBay",9805,16,"Retail","The Americas","United States"
"37",37,"Thomson Reuters",9515,6,"Media","The Americas","Canada"
"38",38,"Goldman Sachs",9091,-3,"Financial Services","The Americas","United States"
"39",39,"Gucci",8763,5,"Luxury","Europe & Africa","Italy"
"40",40,"L'Oréal",8699,9,"FMCG","Europe & Africa","France"
"41",41,"Philips",8658,0,"Electronics","Europe & Africa","Netherlands"
"42",42,"Citi",8620,-3,"Financial Services","The Americas","United States"
"43",43,"Dell",8347,-6,"Technology","The Americas","United States"
"44",44,"Zara",8065,8,"Apparel","Europe & Africa","Spain"
"45",45,"Accenture",8005,7,"Business Services","The Americas","United States"
"46",46,"Siemens",7900,8,"Diversified","Europe & Africa","Germany"
"47",47,"Volkswagen",7857,14,"Automotive","Europe & Africa","Germany"
"48",48,"Nintendo",7731,-14,"Electronics","Asia Pacific","Japan"
"49",49,"Heinz",7609,1,"FMCG","The Americas","United States"
"50",50,"Ford",7483,4,"Automotive","The Americas","United States"
"51",51,"Colgate",7127,3,"FMCG","The Americas","United States"
"52",52,"Danone",6936,9,"FMCG","Europe & Africa","France"
"53",53,"AXA",6694,0,"Financial Services","Europe & Africa","France"
"54",54,"Morgan Stanley",6634,-4,"Financial Services","The Americas","United States"
"55",55,"Nestlé",6613,1,"FMCG","Europe & Africa","Switzerland"
"56",56,"BlackBerry",6424,-5,"Electronics","The Americas","Canada"
"57",57,"Xerox",6414,5,"Business Services","The Americas","United States"
"58",58,"MTV",6383,-5,"Media","The Americas","United States"
"59",59,"Audi",6171,13,"Automotive","Europe & Africa","Germany"
"60",60,"adidas",6154,12,"Sporting Goods","Europe & Africa","Germany"
"61",61,"Hyundai",6005,19,"Automotive","Asia Pacific","South Korea"
"62",62,"KFC",5902,1,"Restaurants","The Americas","United States"
"63",63,"Sprite",5604,-3,"Beverages","The Americas","United States"
"64",64,"Caterpillar",5598,19,"Diversified","The Americas","United States"
"65",65,"Avon",5376,6,"FMCG","The Americas","United States"
"66",66,"Hermès",5356,12,"Luxury","Europe & Africa","France"
"67",67,"Allianz",5345,9,"Financial Services","Europe & Africa","Germany"
"68",68,"Santander",5088,5,"Financial Services","Europe & Africa","Spain"
"69",69,"Panasonic",5047,16,"Electronics","Asia Pacific","Japan"
"70",70,"Cartier",4781,18,"Luxury","Europe & Africa","France"
"71",71,"Kleenex",4672,3,"FMCG","The Americas","United States"
"72",72,"Porsche",4580,4,"Automotive","Europe & Africa","Germany"
"73",73,"Tiffany & Co.",4498,9,"Luxury","The Americas","United States"
"74",74,"Shell",4483,12,"Energy","Europe & Africa","Netherlands"
"75",75,"Visa",4478,12,"Financial Services","The Americas","United States"
"76",76,"Yahoo!",4413,-11,"Media","The Americas","United States"
