"","Ranking_2004","Brand","BrandValue_2004","PercentChangeinBV_2004","Sector","Region","Country"
"31",31,"Nike",9260,13,"Sporting Goods","The Americas","United States"
"32",32,"Merck & Co., Inc.",8811,-6,"Pharmaceuticals","The Americas","United States"
"33",33,"HSBC",8671,15,"Financial Services","Europe & Africa","United Kingdom"
"34",34,"SAP",8323,8,"Technology","Europe & Africa","Germany"
"35",35,"Canon",8055,12,"Electronics","Asia Pacific","Japan"
"36",36,"Kellogg's",8029,8,"FMCG","The Americas","United States"
"37",37,"Goldman Sachs",7954,13,"Financial Services","The Americas","United States"
"38",38,"Gap",7873,2,"Apparel","The Americas","United States"
"39",39,"Siemens",7470,0,"Diversified","Europe & Africa","Germany"
"40",40,"IKEA",7182,4,"Retail","Europe & Africa","Sweden"
"41",41,"Harley-Davidson",7057,4,"Automotive","The Americas","United States"
"42",42,"Heinz",7026,-1,"FMCG","The Americas","United States"
"43",43,"Apple",6871,24,"Technology","The Americas","United States"
"44",44,"Louis Vuitton",6602,-2,"Luxury","Europe & Africa","France"
"45",45,"UBS",6526,0,"Financial Services","Europe & Africa","Switzerland"
"46",46,"Nintendo",6479,-21,"Electronics","Asia Pacific","Japan"
"47",47,"MTV",6456,3,"Media","The Americas","United States"
"48",48,"Volkswagen",6410,-8,"Automotive","Europe & Africa","Germany"
"49",49,"L'Oréal",5902,5,"FMCG","Europe & Africa","France"
"50",50,"Accenture",5772,9,"Business Services","The Americas","United States"
"51",51,"Xerox",5696,2,"Business Services","The Americas","United States"
"52",52,"Wrigley",5424,7,"FMCG","The Americas","United States"
"53",53,"Kodak",5231,-33,"Electronics","The Americas","United States"
"54",54,"KFC",5118,-8,"Restaurants","The Americas","United States"
"55",55,"Pizza Hut",5050,-5,"Restaurants","The Americas","United States"
"56",56,"Colgate",4929,5,"FMCG","The Americas","United States"
"57",57,"Kleenex",4881,-3,"FMCG","The Americas","United States"
"58",58,"Avon",4849,5,"FMCG","The Americas","United States"
"59",59,"Gucci",4715,-8,"Luxury","Europe & Africa","Italy"
"60",60,"eBay",4700,0,"Retail","The Americas","United States"
"61",61,"Yahoo!",4545,17,"Media","The Americas","United States"
"62",62,"Nestlé",4529,2,"FMCG","Europe & Africa","Switzerland"
"63",63,"Danone",4488,6,"FMCG","Europe & Africa","France"
"64",64,"Chanel",4416,2,"Luxury","Europe & Africa","France"
"65",65,"Philips",4378,-2,"Electronics","Europe & Africa","Netherlands"
"66",66,"Amazon",4156,22,"Retail","The Americas","United States"
"67",67,"Kraft",4112,-1,"FMCG","The Americas","United States"
"68",68,"Caterpillar",3801,13,"Diversified","The Americas","United States"
"69",69,"adidas",3740,2,"Sporting Goods","Europe & Africa","Germany"
"70",70,"Rolex",3720,1,"Luxury","Europe & Africa","Switzerland"
"71",71,"Reuters",3691,12,"Media","Europe & Africa","United Kingdom"
"72",72,"BP",3662,2,"Energy","Europe & Africa","United Kingdom"
"73",73,"Time",3651,-4,"Media","The Americas","United States"
"74",74,"Porsche",3646,0,"Automotive","Europe & Africa","Germany"
"75",75,"Tiffany & Co.",3638,3,"Luxury","The Americas","United States"
"76",76,"Motorola",3483,12,"Electronics","The Americas","United States"
"77",77,"Panasonic",3480,7,"Electronics","Asia Pacific","Japan"
"78",78,"Hertz",3411,4,"Automotive","The Americas","United States"
"79",79,"Hermès",3376,-1,"Luxury","Europe & Africa","France"
"80",80,"Duracell",3362,-2,"FMCG","The Americas","United States"
"81",81,"Audi",3288,0,"Automotive","Europe & Africa","Germany"
"82",82,"AOL",3248,-18,"Media","The Americas","United States"
"83",83,"Hennessy",3084,3,"Alcohol","Europe & Africa","France"
"84",84,"Shell",2985,0,"Energy","Europe & Africa","Netherlands"
"85",85,"Levi's",2979,-10,"Apparel","The Americas","United States"
"86",86,"Smirnoff",2975,6,"Alcohol","Europe & Africa","United Kingdom"
"87",87,"Johnson & Johnson",2952,9,"FMCG","The Americas","United States"
"88",88,"ING",2864,0,"Financial Services","Europe & Africa","Netherlands"
"89",89,"Moët & Chandon",2861,13,"Alcohol","Europe & Africa","France"
"90",90,"Nissan",2833,14,"Automotive","Asia Pacific","Japan"
"91",91,"Cartier",2749,0,"Luxury","Europe & Africa","France"
"92",92,"Estee Lauder",2634,0,"FMCG","The Americas","United States"
"93",93,"Armani",2613,0,"Luxury","Europe & Africa","Italy"
"94",94,"Boeing",2576,-10,"Diversified","The Americas","United States"
"95",95,"Prada",2568,1,"Luxury","Europe & Africa","Italy"
"96",96,"Mobil",2492,4,"Energy","The Americas","United States"
"97",97,"Nivea",2409,8,"FMCG","Europe & Africa","Germany"
"98",98,"Starbucks",2400,12,"Restaurants","The Americas","United States"
"99",99,"Heineken",2380,-2,"Alcohol","Europe & Africa","Netherlands"
"100",100,"Ralph Lauren",2147,5,"Apparel","The Americas","United States"
