"","Ranking_2004","Brand","BrandValue_2004","PercentChangeinBV_2004","Sector","Region","Country"
"1",1,"Coca-Cola",67394,-4,"Beverages","The Americas","United States"
"2",2,"Microsoft",61372,-6,"Technology","The Americas","United States"
"3",3,"IBM",53791,4,"Business Services","The Americas","United States"
"4",4,"GE",44111,4,"Diversified","The Americas","United States"
"5",5,"Intel",33499,8,"Technology","The Americas","United States"
"6",6,"Disney",27113,-3,"Media","The Americas","United States"
"7",7,"McDonald's",25001,1,"Restaurants","The Americas","United States"
"8",8,"Nokia",24041,-18,"Technology","Europe & Africa","Finland"
"9",9,"Toyota",22673,9,"Automotive","Asia Pacific","Japan"
"10",10,"Marlboro",22128,0,"Tobacco","The Americas","United States"
"11",11,"Mercedes-Benz",21331,0,"Automotive","Europe & Africa","Germany"
"12",12,"HP",20978,6,"Technology","The Americas","United States"
"13",13,"Citi",19971,8,"Financial Services","The Americas","United States"
"14",14,"American Express",17683,5,"Financial Services","The Americas","United States"
"15",15,"Gillette",16723,5,"FMCG","The Americas","United States"
"16",16,"Cisco",15948,1,"Technology","The Americas","United States"
"17",17,"BMW",15886,5,"Automotive","Europe & Africa","Germany"
"18",18,"Honda",14874,-5,"Automotive","Asia Pacific","Japan"
"19",19,"Ford",14475,-15,"Automotive","The Americas","United States"
"20",20,"Sony",12759,-3,"Electronics","Asia Pacific","Japan"
"21",21,"Samsung",12553,16,"Technology","Asia Pacific","South Korea"
"22",22,"Pepsi",12066,2,"Beverages","The Americas","United States"
"23",23,"NESCAFÉ",11892,-4,"Beverages","Europe & Africa","Switzerland"
"24",24,"Budweiser",11846,0,"Alcohol","The Americas","United States"
"25",25,"Dell",11500,11,"Technology","The Americas","United States"
"26",26,"Merrill Lynch",11499,9,"Financial Services","The Americas","United States"
"27",27,"Morgan Stanley",11498,8,"Financial Services","The Americas","United States"
"28",28,"Oracle",10935,-3,"Technology","The Americas","United States"
"29",29,"Pfizer",10635,2,"Pharmaceuticals","The Americas","United States"
"30",30,"J.P. Morgan",9782,7,"Financial Services","The Americas","United States"
