"","Ranking_2014","Brand","BrandValue_2014","PercentChangeinBV_2014","Sector","Region","Country"
"1",1,"Apple",118863,21,"Technology","The Americas","United States"
"2",2,"Google",107439,15,"Technology","The Americas","United States"
"3",3,"Coca-Cola",81563,3,"Beverages","The Americas","United States"
"4",4,"IBM",72244,-8,"Business Services","The Americas","United States"
"5",5,"Microsoft",61154,3,"Technology","The Americas","United States"
"6",6,"GE",45480,-3,"Diversified","The Americas","United States"
"7",7,"Samsung",45462,15,"Technology","Asia Pacific","South Korea"
"8",8,"Toyota",42392,20,"Automotive","Asia Pacific","Japan"
"9",9,"McDonald's",42254,1,"Restaurants","The Americas","United States"
"10",10,"Mercedes-Benz",34338,8,"Automotive","Europe & Africa","Germany"
"11",11,"BMW",34214,7,"Automotive","Europe & Africa","Germany"
"12",12,"Intel",34153,-8,"Technology","The Americas","United States"
"13",13,"Disney",32223,14,"Media","The Americas","United States"
"14",14,"Cisco",30936,6,"Technology","The Americas","United States"
"15",15,"Amazon",29478,25,"Retail","The Americas","United States"
"16",16,"Oracle",25980,8,"Technology","The Americas","United States"
"17",17,"HP",23758,-8,"Technology","The Americas","United States"
"18",18,"Gillette",22845,-9,"FMCG","The Americas","United States"
"19",19,"Louis Vuitton",22552,-9,"Luxury","Europe & Africa","France"
"20",20,"Honda",21673,17,"Automotive","Asia Pacific","Japan"
"21",21,"H&M",21083,16,"Apparel","Europe & Africa","Sweden"
"22",22,"Nike",19875,16,"Sporting Goods","The Americas","United States"
"23",23,"American Express",19510,11,"Financial Services","The Americas","United States"
"24",24,"Pepsi",19119,7,"Beverages","The Americas","United States"
"25",25,"SAP",17340,4,"Technology","Europe & Africa","Germany"
"26",26,"IKEA",15885,15,"Retail","Europe & Africa","Sweden"
"27",27,"UPS",14470,5,"Logistics","The Americas","United States"
"28",28,"eBay",14358,9,"Retail","The Americas","United States"
"29",29,"Facebook",14349,86,"Technology","The Americas","United States"
"30",30,"Pampers",14078,8,"FMCG","The Americas","United States"
"31",31,"Volkswagen",13716,23,"Automotive","Europe & Africa","Germany"
"32",32,"Kellogg's",13442,4,"FMCG","The Americas","United States"
"33",33,"HSBC",13142,8,"Financial Services","Europe & Africa","United Kingdom"
"34",34,"Budweiser",13024,3,"Alcohol","The Americas","United States"
"35",35,"J.P. Morgan",12456,9,"Financial Services","The Americas","United States"
"36",36,"Zara",12126,12,"Apparel","Europe & Africa","Spain"
"37",37,"Canon",11702,6,"Electronics","Asia Pacific","Japan"
"38",38,"NESCAFÉ",11406,7,"Beverages","Europe & Africa","Switzerland"
"39",39,"Ford",10876,18,"Automotive","The Americas","United States"
"40",40,"Hyundai",10409,16,"Automotive","Asia Pacific","South Korea"
"41",41,"Gucci",10385,2,"Luxury","Europe & Africa","Italy"
"42",42,"Philips",10264,5,"Electronics","Europe & Africa","Netherlands"
"43",43,"L'Oréal",10162,3,"FMCG","Europe & Africa","France"
"44",44,"Accenture",9882,4,"Business Services","The Americas","United States"
"45",45,"Audi",9831,27,"Automotive","Europe & Africa","Germany"
"46",46,"Hermès",8977,18,"Luxury","Europe & Africa","France"
"47",47,"Goldman Sachs",8758,3,"Financial Services","The Americas","United States"
"48",48,"Citi",8737,10,"Financial Services","The Americas","United States"
"49",49,"Siemens",8672,2,"Diversified","Europe & Africa","Germany"
"50",50,"Colgate",8215,5,"FMCG","The Americas","United States"
