"","Ranking_2002","Brand","BrandValue_2002","PercentChangeinBV_2002","Sector","Region","Country"
"1",1,"Coca-Cola",69637,1,"Beverages","The Americas","United States"
"2",2,"Microsoft",64091,-2,"Technology","The Americas","United States"
"3",3,"IBM",51188,-3,"Business Services","The Americas","United States"
"4",4,"GE",41311,-3,"Diversified","The Americas","United States"
"5",5,"Intel",30861,-11,"Technology","The Americas","United States"
"6",6,"Nokia",29970,-14,"Technology","Europe & Africa","Finland"
"7",7,"Disney",29256,-10,"Media","The Americas","United States"
"8",8,"McDonald's",26375,4,"Restaurants","The Americas","United States"
"9",9,"Marlboro",24151,10,"Tobacco","The Americas","United States"
"10",10,"Mercedes-Benz",21010,-3,"Automotive","Europe & Africa","Germany"
"11",11,"Ford",20403,-32,"Automotive","The Americas","United States"
"12",12,"Toyota",19448,5,"Automotive","Asia Pacific","Japan"
"13",13,"Citi",18066,-5,"Financial Services","The Americas","United States"
"14",14,"HP",16776,-7,"Technology","The Americas","United States"
"15",15,"American Express",16287,-4,"Financial Services","The Americas","United States"
"16",16,"Cisco",16222,-6,"Technology","The Americas","United States"
"17",17,"AT&T",16059,-30,"Telecommunications","The Americas","United States"
"18",18,"Honda",15064,3,"Automotive","Asia Pacific","Japan"
"19",19,"Gillette",14959,-2,"FMCG","The Americas","United States"
"20",20,"BMW",14425,4,"Automotive","Europe & Africa","Germany"
"21",21,"Sony",13899,-7,"Electronics","Asia Pacific","Japan"
"22",22,"NESCAFÉ",12843,-3,"Beverages","Europe & Africa","Switzerland"
"23",23,"Oracle",11510,-6,"Technology","The Americas","United States"
"24",24,"Budweiser",11349,5,"Alcohol","The Americas","United States"
"25",25,"Merrill Lynch",11230,-25,"Financial Services","The Americas","United States"
"26",26,"Morgan Stanley",11205,0,"Financial Services","The Americas","United States"
"27",27,"Compaq",9803,-21,"Technology","The Americas","United States"
"28",28,"Pfizer",9770,9,"Pharmaceuticals","The Americas","United States"
"29",29,"J.P. Morgan",9693,0,"Financial Services","The Americas","United States"
"30",30,"Kodak",9671,-10,"Electronics","The Americas","United States"
"31",31,"Dell",9237,12,"Technology","The Americas","United States"
"32",32,"Nintendo",9219,-3,"Electronics","Asia Pacific","Japan"
"33",33,"Merck & Co., Inc.",9138,-6,"Pharmaceuticals","The Americas","United States"
"34",34,"Samsung",8310,30,"Technology","Asia Pacific","South Korea"
"35",35,"Nike",7724,2,"Sporting Goods","The Americas","United States"
"36",36,"Gap",7406,-15,"Apparel","The Americas","United States"
"37",37,"Heinz",7347,4,"FMCG","The Americas","United States"
"38",38,"Volkswagen",7209,-2,"Automotive","Europe & Africa","Germany"
"39",39,"Goldman Sachs",7194,-9,"Financial Services","The Americas","United States"
"40",40,"Kellogg's",7191,3,"FMCG","The Americas","United States"
"41",41,"Louis Vuitton",7054,0,"Luxury","Europe & Africa","France"
"42",42,"SAP",6775,7,"Technology","Europe & Africa","Germany"
"43",43,"Canon",6721,2,"Electronics","Asia Pacific","Japan"
"44",44,"IKEA",6545,9,"Retail","Europe & Africa","Sweden"
"45",45,"Pepsi",6394,3,"Beverages","The Americas","United States"
"46",46,"Harley-Davidson",6266,13,"Automotive","The Americas","United States"
"47",47,"MTV",6078,-8,"Media","The Americas","United States"
"48",48,"Pizza Hut",6046,1,"Restaurants","The Americas","United States"
"49",49,"KFC",5346,2,"Restaurants","The Americas","United States"
"50",50,"Apple",5316,-3,"Technology","The Americas","United States"
"51",51,"Xerox",5308,-12,"Business Services","The Americas","United States"
"52",52,"Gucci",5304,-1,"Luxury","Europe & Africa","Italy"
"53",53,"Accenture",5182,0,"Business Services","The Americas","United States"
"54",54,"L'Oréal",5079,0,"FMCG","Europe & Africa","France"
"55",55,"Kleenex",5039,-1,"FMCG","The Americas","United States"
"56",56,"Sun Microsystems",4773,-7,"Business Services","The Americas","United States"
"57",57,"Wrigley",4747,5,"FMCG","The Americas","United States"
"58",58,"Reuters",4611,-12,"Media","Europe & Africa","United Kingdom"
"59",59,"Colgate",4602,1,"FMCG","The Americas","United States"
"60",60,"Philips",4561,-7,"Electronics","Europe & Africa","Netherlands"
"61",61,"Nestlé",4430,0,"FMCG","Europe & Africa","Switzerland"
"62",62,"Avon",4399,1,"FMCG","The Americas","United States"
"63",63,"AOL",4326,-4,"Media","The Americas","United States"
"64",64,"Chanel",4272,0,"Luxury","Europe & Africa","France"
"65",65,"Kraft",4079,1,"FMCG","The Americas","United States"
"66",66,"Danone",4054,0,"FMCG","Europe & Africa","France"
"67",67,"Yahoo!",3855,-12,"Media","The Americas","United States"
"68",68,"adidas",3690,1,"Sporting Goods","Europe & Africa","Germany"
"69",69,"Rolex",3686,0,"Luxury","Europe & Africa","Switzerland"
"70",70,"Time",3682,-1,"Media","The Americas","United States"
"71",71,"Ericsson",3589,-49,"Electronics","Europe & Africa","Sweden"
"72",72,"Tiffany & Co.",3482,0,"Luxury","The Americas","United States"
"73",73,"Levi's",3454,-8,"Apparel","The Americas","United States"
"74",74,"Motorola",3416,-9,"Electronics","The Americas","United States"
"75",75,"Duracell",3409,-18,"FMCG","The Americas","United States"
"76",76,"BP",3390,4,"Energy","Europe & Africa","United Kingdom"
"77",77,"Hertz",3362,-7,"Automotive","The Americas","United States"
"78",78,"Bacardi",3341,4,"Alcohol","The Americas","Bermuda"
"79",79,"Caterpillar",3218,0,"Diversified","The Americas","United States"
"80",80,"Amazon",3175,1,"Retail","The Americas","United States"
"81",81,"Panasonic",3141,-10,"Electronics","Asia Pacific","Japan"
"82",82,"Boeing",2973,-27,"Diversified","The Americas","United States"
"83",83,"Shell",2810,-1,"Energy","Europe & Africa","Netherlands"
"84",84,"Smirnoff",2723,5,"Alcohol","Europe & Africa","United Kingdom"
"85",85,"Johnson & Johnson",2509,0,"FMCG","The Americas","United States"
"86",86,"Prada",2489,0,"Luxury","Europe & Africa","Italy"
"87",87,"Moët & Chandon",2445,-1,"Alcohol","Europe & Africa","France"
"88",88,"Heineken",2396,6,"Alcohol","Europe & Africa","Netherlands"
"89",89,"Mobil",2358,-2,"Energy","The Americas","United States"
"90",90,"Burger King",2163,-11,"Restaurants","The Americas","United States"
"91",91,"Nivea",2059,16,"FMCG","Europe & Africa","Germany"
"92",92,"Wall Street Journal",1961,-10,"Media","The Americas","United States"
"93",93,"Starbucks",1961,12,"Restaurants","The Americas","United States"
"94",94,"Barbie",1937,-5,"Toys & Games","The Americas","United States"
"95",95,"Ralph Lauren",1928,1,"Apparel","The Americas","United States"
"96",96,"FedEx",1919,2,"Logistics","The Americas","United States"
"97",97,"Johnnie Walker",1654,0,"Alcohol","Europe & Africa","United Kingdom"
"98",98,"Jack Daniel's",1580,0,"Alcohol","The Americas","United States"
"99",99,"3M",1579,0,"Diversified","The Americas","United States"
"100",100,"Armani",1509,1,"Luxury","Europe & Africa","Italy"
