"","Ranking_2001","Brand","BrandValue_2001","PercentChangeinBV_2001","Sector","Region","Country"
"1",1,"Coca-Cola",68945,-5,"Beverages","The Americas","United States"
"2",2,"Microsoft",65068,-7,"Technology","The Americas","United States"
"3",3,"IBM",52752,-1,"Business Services","The Americas","United States"
"4",4,"GE",42396,11,"Diversified","The Americas","United States"
"5",5,"Nokia",35035,-9,"Technology","Europe & Africa","Finland"
"6",6,"Intel",34665,-11,"Technology","The Americas","United States"
"7",7,"Disney",32591,-3,"Media","The Americas","United States"
"8",8,"Ford",30092,-17,"Automotive","The Americas","United States"
"9",9,"McDonald's",25289,-9,"Restaurants","The Americas","United States"
"10",10,"AT&T",22828,-11,"Telecommunications","The Americas","United States"
"11",11,"Marlboro",22053,0,"Tobacco","The Americas","United States"
"12",12,"Mercedes-Benz",21728,3,"Automotive","Europe & Africa","Germany"
"13",13,"Citi",19005,1,"Financial Services","The Americas","United States"
"14",14,"Toyota",18578,-1,"Automotive","Asia Pacific","Japan"
"15",15,"HP",17983,-13,"Technology","The Americas","United States"
"16",16,"Cisco",17209,-14,"Technology","The Americas","United States"
"17",17,"American Express",16919,5,"Financial Services","The Americas","United States"
"18",18,"Gillette",15298,-12,"FMCG","The Americas","United States"
"19",19,"Merrill Lynch",15015,0,"Financial Services","The Americas","United States"
"20",20,"Sony",15005,-9,"Electronics","Asia Pacific","Japan"
"21",21,"Honda",14638,-4,"Automotive","Asia Pacific","Japan"
"22",22,"BMW",13858,7,"Automotive","Europe & Africa","Germany"
"23",23,"NESCAFÉ",13250,-3,"Beverages","Europe & Africa","Switzerland"
"24",24,"Compaq",12354,-15,"Technology","The Americas","United States"
"25",25,"Oracle",12224,0,"Technology","The Americas","United States"
"26",26,"Budweiser",10838,1,"Alcohol","The Americas","United States"
"27",27,"Kodak",10801,-9,"Electronics","The Americas","United States"
"28",28,"Merck & Co., Inc.",9672,0,"Pharmaceuticals","The Americas","United States"
"29",29,"Nintendo",9460,0,"Electronics","Asia Pacific","Japan"
"30",30,"Pfizer",8951,0,"Pharmaceuticals","The Americas","United States"
"31",31,"Gap",8746,-6,"Apparel","The Americas","United States"
"32",32,"Dell",8269,-13,"Technology","The Americas","United States"
"33",33,"Goldman Sachs",7862,0,"Financial Services","The Americas","United States"
"34",34,"Nike",7589,-5,"Sporting Goods","The Americas","United States"
"35",35,"Volkswagen",7338,-6,"Automotive","Europe & Africa","Germany"
"36",36,"Ericsson",7069,-9,"Electronics","Europe & Africa","Sweden"
"37",37,"Heinz",7062,-100,"FMCG","The Americas","United States"
"38",38,"Louis Vuitton",7053,2,"Luxury","Europe & Africa","France"
"39",39,"Kellogg's",7005,-5,"FMCG","The Americas","United States"
"40",40,"MTV",6599,3,"Media","The Americas","United States"
"41",41,"Canon",6580,0,"Electronics","Asia Pacific","Japan"
"42",42,"Samsung",6374,22,"Technology","Asia Pacific","South Korea"
"43",43,"SAP",6307,3,"Technology","Europe & Africa","Germany"
"44",44,"Pepsi",6214,-6,"Beverages","The Americas","United States"
"45",45,"Xerox",6019,-38,"Business Services","The Americas","United States"
"46",46,"IKEA",6005,0,"Retail","Europe & Africa","Sweden"
"47",47,"Pizza Hut",5978,0,"Restaurants","The Americas","United States"
"48",48,"Harley-Davidson",5532,0,"Automotive","The Americas","United States"
"49",49,"Apple",5464,-17,"Technology","The Americas","United States"
"50",50,"Gucci",5363,4,"Luxury","Europe & Africa","Italy"
"51",51,"KFC",5261,0,"Restaurants","The Americas","United States"
"52",52,"Reuters",5236,7,"Media","Europe & Africa","United Kingdom"
"53",53,"Sun Microsystems",5149,0,"Business Services","The Americas","United States"
"54",54,"Kleenex",5085,-1,"FMCG","The Americas","United States"
"55",55,"Philips",4900,-11,"Electronics","Europe & Africa","Netherlands"
"56",56,"Colgate",4572,3,"FMCG","The Americas","United States"
"57",57,"Wrigley",4530,5,"FMCG","The Americas","United States"
"58",58,"AOL",4495,-1,"Media","The Americas","United States"
"59",59,"Yahoo!",4378,-31,"Media","The Americas","United States"
"60",60,"Avon",4369,0,"FMCG","The Americas","United States"
"61",61,"Chanel",4265,3,"Luxury","Europe & Africa","France"
"62",62,"Duracell",4140,-30,"FMCG","The Americas","United States"
"63",63,"Boeing",4060,0,"Diversified","The Americas","United States"
"64",64,"Texas Instruments",4041,0,"Technology","The Americas","United States"
"65",65,"Kraft",4032,0,"FMCG","The Americas","United States"
"66",66,"Motorola",3761,-15,"Electronics","The Americas","United States"
"67",67,"Levi's",3747,0,"Apparel","The Americas","United States"
"68",68,"Time",3724,0,"Media","The Americas","United States"
"69",69,"Rolex",3701,4,"Luxury","Europe & Africa","Switzerland"
"70",70,"adidas",3650,-4,"Sporting Goods","Europe & Africa","Germany"
"71",71,"Hertz",3617,5,"Automotive","The Americas","United States"
"72",72,"Panasonic",3490,-7,"Electronics","Asia Pacific","Japan"
"73",73,"Tiffany & Co.",3483,0,"Luxury","The Americas","United States"
"74",74,"BP",3247,6,"Energy","Europe & Africa","United Kingdom"
"75",75,"Bacardi",3204,1,"Alcohol","The Americas","Bermuda"
"76",76,"Amazon",3130,-31,"Retail","The Americas","United States"
"77",77,"Shell",2844,2,"Energy","Europe & Africa","Netherlands"
"78",78,"Smirnoff",2594,6,"Alcohol","Europe & Africa","United Kingdom"
"79",79,"Moët & Chandon",2470,-12,"Alcohol","Europe & Africa","France"
"80",80,"Burger King",2426,-10,"Restaurants","The Americas","United States"
"81",81,"Mobil",2415,0,"Energy","The Americas","United States"
"82",82,"Heineken",2266,2,"Alcohol","Europe & Africa","Netherlands"
"83",83,"Wall Street Journal",2184,0,"Media","The Americas","United States"
"84",84,"Barbie",2037,-12,"Toys & Games","The Americas","United States"
"85",85,"Ralph Lauren",1910,4,"Apparel","The Americas","United States"
"86",86,"FedEx",1885,0,"Logistics","The Americas","United States"
"87",87,"Nivea",1782,0,"FMCG","Europe & Africa","Germany"
"88",88,"Starbucks",1757,32,"Restaurants","The Americas","United States"
"89",89,"Johnnie Walker",1649,7,"Alcohol","Europe & Africa","United Kingdom"
"90",90,"Jack Daniel's",1583,7,"Alcohol","The Americas","United States"
"91",91,"Armani",1490,2,"Luxury","Europe & Africa","Italy"
"92",92,"Pampers",1410,1,"FMCG","The Americas","United States"
"93",93,"Absolut",1378,0,"Alcohol","Europe & Africa","Sweden"
"94",94,"Guinness",1357,11,"Alcohol","Europe & Africa","Ireland"
"95",95,"Financial Times",1310,14,"Media","Europe & Africa","United Kingdom"
"96",96,"Hilton",1235,-17,"Hospitality","The Americas","United States"
"97",97,"Carlsberg",1075,0,"Alcohol","Europe & Africa","Denmark"
"98",98,"Siemens",1029,0,"Diversified","Europe & Africa","Germany"
"99",99,"Swatch",1004,0,"FMCG","Europe & Africa","Switzerland"
"100",100,"Benetton",1002,-1,"Apparel","Europe & Africa","Italy"
