"","Ranking_2006","Brand","BrandValue_2006","PercentChangeinBV_2006","Sector","Region","Country"
"1",1,"Coca-Cola",67000,-1,"Beverages","The Americas","United States"
"2",2,"Microsoft",56926,-5,"Technology","The Americas","United States"
"3",3,"IBM",56201,5,"Business Services","The Americas","United States"
"4",4,"GE",48907,4,"Diversified","The Americas","United States"
"5",5,"Intel",32319,-9,"Technology","The Americas","United States"
"6",6,"Nokia",30131,14,"Technology","Europe & Africa","Finland"
"7",7,"Toyota",27941,12,"Automotive","Asia Pacific","Japan"
"8",8,"Disney",27848,5,"Media","The Americas","United States"
"9",9,"McDonald's",27501,6,"Restaurants","The Americas","United States"
"10",10,"Mercedes-Benz",21795,9,"Automotive","Europe & Africa","Germany"
"11",11,"Citi",21458,7,"Financial Services","The Americas","United States"
"12",12,"Marlboro",21350,1,"Tobacco","The Americas","United States"
"13",13,"HP",20458,8,"Technology","The Americas","United States"
"14",14,"American Express",19641,6,"Financial Services","The Americas","United States"
"15",15,"BMW",19617,15,"Automotive","Europe & Africa","Germany"
"16",16,"Gillette",19579,12,"FMCG","The Americas","United States"
"17",17,"Louis Vuitton",17606,10,"Luxury","Europe & Africa","France"
"18",18,"Cisco",17532,6,"Technology","The Americas","United States"
"19",19,"Honda",17049,8,"Automotive","Asia Pacific","Japan"
"20",20,"Samsung",16169,8,"Technology","Asia Pacific","South Korea"
"21",21,"Merrill Lynch",13001,8,"Financial Services","The Americas","United States"
"22",22,"Pepsi",12690,2,"Beverages","The Americas","United States"
"23",23,"NESCAFÉ",12507,2,"Beverages","Europe & Africa","Switzerland"
"24",24,"Google",12376,46,"Technology","The Americas","United States"
"25",25,"Dell",12256,-7,"Technology","The Americas","United States"
"26",26,"Sony",11695,9,"Electronics","Asia Pacific","Japan"
"27",27,"Budweiser",11662,-2,"Alcohol","The Americas","United States"
"28",28,"HSBC",11622,11,"Financial Services","Europe & Africa","United Kingdom"
"29",29,"Oracle",11459,5,"Technology","The Americas","United States"
"30",30,"Ford",11056,-16,"Automotive","The Americas","United States"
"31",31,"Nike",10897,8,"Sporting Goods","The Americas","United States"
"32",32,"UPS",10712,8,"Logistics","The Americas","United States"
"33",33,"J.P. Morgan",10205,8,"Financial Services","The Americas","United States"
"34",34,"SAP",10007,11,"Technology","Europe & Africa","Germany"
"35",35,"Canon",9968,10,"Electronics","Asia Pacific","Japan"
"36",36,"Morgan Stanley",9762,0,"Financial Services","The Americas","United States"
"37",37,"Goldman Sachs",9640,13,"Financial Services","The Americas","United States"
"38",38,"Pfizer",9591,-4,"Pharmaceuticals","The Americas","United States"
"39",39,"Apple",9130,14,"Technology","The Americas","United States"
"40",40,"Kellogg's",8776,6,"FMCG","The Americas","United States"
"41",41,"IKEA",8763,12,"Retail","Europe & Africa","Sweden"
"42",42,"UBS",8734,15,"Financial Services","Europe & Africa","Switzerland"
"43",43,"Novartis",7880,2,"Pharmaceuticals","Europe & Africa","Switzerland"
"44",44,"Siemens",7828,4,"Diversified","Europe & Africa","Germany"
"45",45,"Harley-Davidson",7739,5,"Automotive","The Americas","United States"
"46",46,"Gucci",7158,8,"Luxury","Europe & Africa","Italy"
"47",47,"eBay",6755,18,"Retail","The Americas","United States"
"48",48,"Philips",6730,14,"Electronics","Europe & Africa","Netherlands"
"49",49,"Accenture",6728,10,"Business Services","The Americas","United States"
"50",50,"MTV",6627,0,"Media","The Americas","United States"
"51",51,"Nintendo",6559,1,"Electronics","Asia Pacific","Japan"
"52",52,"Gap",6416,-22,"Apparel","The Americas","United States"
"53",53,"L'Oréal",6392,6,"FMCG","Europe & Africa","France"
"54",54,"Heinz",6223,-10,"FMCG","The Americas","United States"
"55",55,"Yahoo!",6056,15,"Media","The Americas","United States"
"56",56,"Volkswagen",6032,7,"Automotive","Europe & Africa","Germany"
"57",57,"Xerox",5918,4,"Business Services","The Americas","United States"
"58",58,"Colgate",5633,9,"FMCG","The Americas","United States"
"59",59,"Wrigley",5449,-2,"FMCG","The Americas","United States"
"60",60,"KFC",5350,5,"Restaurants","The Americas","United States"
"61",61,"Chanel",5156,8,"Luxury","Europe & Africa","France"
"62",62,"Avon",5040,-3,"FMCG","The Americas","United States"
"63",63,"Nestlé",4932,4,"FMCG","Europe & Africa","Switzerland"
"64",64,"Kleenex",4842,-2,"FMCG","The Americas","United States"
"65",65,"Amazon",4707,11,"Retail","The Americas","United States"
"66",66,"Pizza Hut",4694,-5,"Restaurants","The Americas","United States"
"67",67,"Danone",4638,3,"FMCG","Europe & Africa","France"
"68",68,"Caterpillar",4580,12,"Diversified","The Americas","United States"
"69",69,"Motorola",4569,18,"Electronics","The Americas","United States"
"70",70,"Kodak",4406,-12,"Electronics","The Americas","United States"
"71",71,"adidas",4290,6,"Sporting Goods","Europe & Africa","Germany"
"72",72,"Rolex",4237,8,"Luxury","Europe & Africa","Switzerland"
"73",73,"Zara",4235,14,"Apparel","Europe & Africa","Spain"
"74",74,"Audi",4165,13,"Automotive","Europe & Africa","Germany"
"75",75,"Hyundai",4078,17,"Automotive","Asia Pacific","South Korea"
"76",76,"BP",4010,5,"Energy","Europe & Africa","United Kingdom"
"77",77,"Panasonic",3977,7,"Electronics","Asia Pacific","Japan"
"78",78,"Reuters",3961,2,"Media","Europe & Africa","United Kingdom"
"79",79,"Kraft",3943,-7,"FMCG","The Americas","United States"
"80",80,"Porsche",3927,4,"Automotive","Europe & Africa","Germany"
"81",81,"Hermès",3854,9,"Luxury","Europe & Africa","France"
"82",82,"Tiffany & Co.",3819,6,"Luxury","The Americas","United States"
"83",83,"Hennessy",3576,12,"Alcohol","Europe & Africa","France"
