"","Ranking_2003","Brand","BrandValue_2003","PercentChangeinBV_2003","Sector","Region","Country"
"1",1,"Coca-Cola",70453,1,"Beverages","The Americas","United States"
"2",2,"Microsoft",65174,2,"Technology","The Americas","United States"
"3",3,"IBM",51767,1,"Business Services","The Americas","United States"
"4",4,"GE",42340,2,"Diversified","The Americas","United States"
"5",5,"Intel",31112,1,"Technology","The Americas","United States"
"6",6,"Nokia",29440,-2,"Technology","Europe & Africa","Finland"
"7",7,"Disney",28036,-4,"Media","The Americas","United States"
"8",8,"McDonald's",24699,-6,"Restaurants","The Americas","United States"
"9",9,"Marlboro",22183,-8,"Tobacco","The Americas","United States"
"10",10,"Mercedes-Benz",21371,2,"Automotive","Europe & Africa","Germany"
"11",11,"Toyota",20784,7,"Automotive","Asia Pacific","Japan"
"12",12,"HP",19860,18,"Technology","The Americas","United States"
"13",13,"Citi",18571,3,"Financial Services","The Americas","United States"
"14",14,"Ford",17066,-16,"Automotive","The Americas","United States"
"15",15,"American Express",16833,3,"Financial Services","The Americas","United States"
"16",16,"Gillette",15978,7,"FMCG","The Americas","United States"
"17",17,"Cisco",15789,-3,"Technology","The Americas","United States"
"18",18,"Honda",15625,4,"Automotive","Asia Pacific","Japan"
"19",19,"BMW",15106,5,"Automotive","Europe & Africa","Germany"
"20",20,"Sony",13153,-5,"Electronics","Asia Pacific","Japan"
"21",21,"NESCAFÉ",12336,-4,"Beverages","Europe & Africa","Switzerland"
"22",22,"Budweiser",11894,5,"Alcohol","The Americas","United States"
"23",23,"Pepsi",11777,6,"Beverages","The Americas","United States"
"24",24,"Oracle",11263,-2,"Technology","The Americas","United States"
"25",25,"Samsung",10846,31,"Technology","Asia Pacific","South Korea"
"26",26,"Morgan Stanley",10691,-5,"Financial Services","The Americas","United States"
"27",27,"Merrill Lynch",10521,-6,"Financial Services","The Americas","United States"
"28",28,"Pfizer",10455,7,"Pharmaceuticals","The Americas","United States"
"29",29,"Dell",10367,12,"Technology","The Americas","United States"
"30",30,"Merck & Co., Inc.",9407,3,"Pharmaceuticals","The Americas","United States"
"31",31,"J.P. Morgan",9120,-6,"Financial Services","The Americas","United States"
