"","Ranking_2009","Brand","BrandValue_2009","PercentChangeinBV_2009","Sector","Region","Country"
"1",1,"Coca-Cola",68734,3,"Beverages","The Americas","United States"
"2",2,"IBM",60211,2,"Business Services","The Americas","United States"
"3",3,"Microsoft",56647,-4,"Technology","The Americas","United States"
"4",4,"GE",47777,-10,"Diversified","The Americas","United States"
"5",5,"Nokia",34864,-3,"Technology","Europe & Africa","Finland"
"6",6,"McDonald's",32275,4,"Restaurants","The Americas","United States"
"7",7,"Google",31980,25,"Technology","The Americas","United States"
"8",8,"Toyota",31330,-8,"Automotive","Asia Pacific","Japan"
"9",9,"Intel",30636,-2,"Technology","The Americas","United States"
"10",10,"Disney",28447,-3,"Media","The Americas","United States"
"11",11,"HP",24096,2,"Technology","The Americas","United States"
"12",12,"Mercedes-Benz",23867,-7,"Automotive","Europe & Africa","Germany"
"13",13,"Gillette",22841,4,"FMCG","The Americas","United States"
"14",14,"Cisco",22030,3,"Technology","The Americas","United States"
"15",15,"BMW",21671,-7,"Automotive","Europe & Africa","Germany"
"16",16,"Louis Vuitton",21120,-2,"Luxury","Europe & Africa","France"
"17",17,"Marlboro",19010,-11,"Tobacco","The Americas","United States"
"18",18,"Honda",17803,-7,"Automotive","Asia Pacific","Japan"
"19",19,"Samsung",17518,-1,"Technology","Asia Pacific","South Korea"
"20",20,"Apple",15433,12,"Technology","The Americas","United States"
"21",21,"H&M",15375,11,"Apparel","Europe & Africa","Sweden"
"22",22,"American Express",14971,-32,"Financial Services","The Americas","United States"
"23",23,"Pepsi",13706,3,"Beverages","The Americas","United States"
"24",24,"Oracle",13699,-1,"Technology","The Americas","United States"
"25",25,"NESCAFÉ",13317,2,"Beverages","Europe & Africa","Switzerland"
"26",26,"Nike",13179,4,"Sporting Goods","The Americas","United States"
"27",27,"SAP",12106,-1,"Technology","Europe & Africa","Germany"
"28",28,"IKEA",12004,10,"Retail","Europe & Africa","Sweden"
"29",29,"Sony",11953,-12,"Electronics","Asia Pacific","Japan"
"30",30,"Budweiser",11833,3,"Alcohol","The Americas","United States"
"31",31,"UPS",11594,-8,"Logistics","The Americas","United States"
"32",32,"HSBC",10510,-20,"Financial Services","Europe & Africa","United Kingdom"
"33",33,"Canon",10441,-4,"Electronics","Asia Pacific","Japan"
"34",34,"Kellogg's",10428,7,"FMCG","The Americas","United States"
"35",35,"Dell",10291,-12,"Technology","The Americas","United States"
"36",36,"Citi",10254,-49,"Financial Services","The Americas","United States"
"37",37,"J.P. Morgan",9550,-11,"Financial Services","The Americas","United States"
"38",38,"Goldman Sachs",9248,-10,"Financial Services","The Americas","United States"
"39",39,"Nintendo",9210,5,"Electronics","Asia Pacific","Japan"
"40",40,"Thomson Reuters",8434,1,"Media","The Americas","Canada"
"41",41,"Gucci",8182,-1,"Luxury","Europe & Africa","Italy"
"42",42,"Philips",8121,-2,"Electronics","Europe & Africa","Netherlands"
"43",43,"Amazon",7858,22,"Retail","The Americas","United States"
"44",44,"L'Oréal",7748,3,"FMCG","Europe & Africa","France"
"45",45,"Accenture",7710,-3,"Business Services","The Americas","United States"
"46",46,"eBay",7350,-8,"Retail","The Americas","United States"
"47",47,"Siemens",7308,-8,"Diversified","Europe & Africa","Germany"
"48",48,"Heinz",7244,9,"FMCG","The Americas","United States"
"49",49,"Ford",7005,-11,"Automotive","The Americas","United States"
"50",50,"Zara",6789,14,"Apparel","Europe & Africa","Spain"
"51",51,"Wrigley",6731,10,"FMCG","The Americas","United States"
"52",52,"Colgate",6550,2,"FMCG","The Americas","United States"
"53",53,"AXA",6525,-7,"Financial Services","Europe & Africa","France"
"54",54,"MTV",6523,-9,"Media","The Americas","United States"
"55",55,"Volkswagen",6484,-8,"Automotive","Europe & Africa","Germany"
"56",56,"Xerox",6431,1,"Business Services","The Americas","United States"
"57",57,"Morgan Stanley",6399,-26,"Financial Services","The Americas","United States"
"58",58,"Nestlé",6319,13,"FMCG","Europe & Africa","Switzerland"
"59",59,"Chanel",6040,-5,"Luxury","Europe & Africa","France"
"60",60,"Danone",5960,10,"FMCG","Europe & Africa","France"
"61",61,"KFC",5722,3,"Restaurants","The Americas","United States"
"62",62,"adidas",5397,6,"Sporting Goods","Europe & Africa","Germany"
"63",63,"BlackBerry",5138,7,"Electronics","The Americas","Canada"
"64",64,"Yahoo!",5111,-7,"Media","The Americas","United States"
"65",65,"Audi",5010,-7,"Automotive","Europe & Africa","Germany"
"66",66,"Caterpillar",5004,-5,"Diversified","The Americas","United States"
"67",67,"Avon",4917,-7,"FMCG","The Americas","United States"
"68",68,"Rolex",4609,-7,"Luxury","Europe & Africa","Switzerland"
"69",69,"Hyundai",4604,-5,"Automotive","Asia Pacific","South Korea"
"70",70,"Hermès",4598,1,"Luxury","Europe & Africa","France"
"71",71,"Kleenex",4404,-5,"FMCG","The Americas","United States"
"72",72,"UBS",4370,-50,"Financial Services","Europe & Africa","Switzerland"
"73",73,"Harley-Davidson",4337,-43,"Automotive","The Americas","United States"
"74",74,"Porsche",4234,-8,"Automotive","Europe & Africa","Germany"
"75",75,"Panasonic",4225,-1,"Electronics","Asia Pacific","Japan"
"76",76,"Tiffany & Co.",4000,-5,"Luxury","The Americas","United States"
"77",77,"Cartier",3968,-6,"Luxury","Europe & Africa","France"
"78",78,"Gap",3922,-10,"Apparel","The Americas","United States"
"79",79,"Pizza Hut",3876,-5,"Restaurants","The Americas","United States"
"80",80,"Johnson & Johnson",3847,7,"FMCG","The Americas","United States"
"81",81,"Allianz",3831,-5,"Financial Services","Europe & Africa","Germany"
"82",82,"Moët & Chandon",3754,-5,"Alcohol","Europe & Africa","France"
"83",83,"BP",3716,-5,"Energy","Europe & Africa","United Kingdom"
"84",84,"Smirnoff",3698,3,"Alcohol","Europe & Africa","United Kingdom"
"85",85,"Duracell",3563,-3,"FMCG","The Americas","United States"
"86",86,"Nivea",3557,5,"FMCG","Europe & Africa","Germany"
"87",87,"Prada",3530,-2,"Luxury","Europe & Africa","Italy"
"88",88,"Ferrari",3527,0,"Automotive","Europe & Africa","Italy"
"89",89,"Armani",3303,-6,"Luxury","Europe & Africa","Italy"
"90",90,"Starbucks",3263,-16,"Restaurants","The Americas","United States"
"91",91,"Lancôme",3235,0,"FMCG","Europe & Africa","France"
"92",92,"Shell",3228,-7,"Energy","Europe & Africa","Netherlands"
"93",93,"Burger King",3223,0,"Restaurants","The Americas","United States"
"94",94,"Visa",3170,-5,"Financial Services","The Americas","United States"
"95",95,"Adobe",3161,0,"Technology","The Americas","United States"
"96",96,"Lexus",3158,-12,"Automotive","Asia Pacific","Japan"
"97",97,"Puma",3154,0,"Sporting Goods","Europe & Africa","Germany"
"98",98,"Burberry",3095,0,"Luxury","Europe & Africa","United Kingdom"
"99",99,"Ralph Lauren",3094,0,"Apparel","The Americas","United States"
"100",100,"Campbell's",3081,0,"FMCG","The Americas","United States"
