"","Ranking_2005","Brand","BrandValue_2005","PercentChangeinBV_2005","Sector","Region","Country"
"1",1,"Coca-Cola",67525,0,"Beverages","The Americas","United States"
"2",2,"Microsoft",59941,-2,"Technology","The Americas","United States"
"3",3,"IBM",53376,-1,"Business Services","The Americas","United States"
"4",4,"GE",46996,7,"Diversified","The Americas","United States"
"5",5,"Intel",35588,6,"Technology","The Americas","United States"
"6",6,"Nokia",26452,10,"Technology","Europe & Africa","Finland"
"7",7,"Disney",26441,-2,"Media","The Americas","United States"
"8",8,"McDonald's",26014,4,"Restaurants","The Americas","United States"
"9",9,"Toyota",24837,10,"Automotive","Asia Pacific","Japan"
"10",10,"Marlboro",21189,-4,"Tobacco","The Americas","United States"
"11",11,"Mercedes-Benz",20006,-6,"Automotive","Europe & Africa","Germany"
"12",12,"Citi",19967,0,"Financial Services","The Americas","United States"
"13",13,"HP",18866,-10,"Technology","The Americas","United States"
"14",14,"American Express",18559,5,"Financial Services","The Americas","United States"
"15",15,"Gillette",17534,5,"FMCG","The Americas","United States"
"16",16,"BMW",17126,8,"Automotive","Europe & Africa","Germany"
"17",17,"Cisco",16592,4,"Technology","The Americas","United States"
"18",18,"Louis Vuitton",16077,-101,"Luxury","Europe & Africa","France"
"19",19,"Honda",15788,6,"Automotive","Asia Pacific","Japan"
"20",20,"Samsung",14956,19,"Technology","Asia Pacific","South Korea"
"21",21,"Dell",13231,15,"Technology","The Americas","United States"
"22",22,"Ford",13159,-9,"Automotive","The Americas","United States"
"23",23,"Pepsi",12399,3,"Beverages","The Americas","United States"
"24",24,"NESCAFÉ",12241,3,"Beverages","Europe & Africa","Switzerland"
"25",25,"Merrill Lynch",12018,5,"Financial Services","The Americas","United States"
"26",26,"Budweiser",11878,0,"Alcohol","The Americas","United States"
"27",27,"Oracle",10887,0,"Technology","The Americas","United States"
"28",28,"Sony",10754,-16,"Electronics","Asia Pacific","Japan"
"29",29,"HSBC",10429,20,"Financial Services","Europe & Africa","United Kingdom"
"30",30,"Nike",10114,9,"Sporting Goods","The Americas","United States"
"31",31,"Pfizer",9981,-6,"Pharmaceuticals","The Americas","United States"
"32",32,"UPS",9923,0,"Logistics","The Americas","United States"
"33",33,"Morgan Stanley",9777,-15,"Financial Services","The Americas","United States"
"34",34,"J.P. Morgan",9455,-3,"Financial Services","The Americas","United States"
"35",35,"Canon",9044,12,"Electronics","Asia Pacific","Japan"
"36",36,"SAP",9006,8,"Technology","Europe & Africa","Germany"
