"","Ranking_2005","Brand","BrandValue_2005","PercentChangeinBV_2005","Sector","Region","Country"
"37",37,"Goldman Sachs",8495,7,"Financial Services","The Americas","United States"
"38",38,"Google",8461,0,"Technology","The Americas","United States"
"39",39,"Kellogg's",8306,3,"FMCG","The Americas","United States"
"40",40,"Gap",8195,4,"Apparel","The Americas","United States"
"41",41,"Apple",7985,16,"Technology","The Americas","United States"
"42",42,"IKEA",7817,9,"Retail","Europe & Africa","Sweden"
"43",43,"Novartis",7746,0,"Pharmaceuticals","Europe & Africa","Switzerland"
"44",44,"UBS",7565,16,"Financial Services","Europe & Africa","Switzerland"
"45",45,"Siemens",7507,1,"Diversified","Europe & Africa","Germany"
"46",46,"Harley-Davidson",7346,4,"Automotive","The Americas","United States"
"47",47,"Heinz",6932,-1,"FMCG","The Americas","United States"
"48",48,"MTV",6647,3,"Media","The Americas","United States"
"49",49,"Gucci",6619,-101,"Luxury","Europe & Africa","Italy"
"50",50,"Nintendo",6470,0,"Electronics","Asia Pacific","Japan"
"51",51,"Accenture",6142,6,"Business Services","The Americas","United States"
"52",52,"L'Oréal",6005,2,"FMCG","Europe & Africa","France"
"53",53,"Philips",5901,-101,"Electronics","Europe & Africa","Netherlands"
"54",54,"Xerox",5705,0,"Business Services","The Americas","United States"
"55",55,"eBay",5701,21,"Retail","The Americas","United States"
"56",56,"Volkswagen",5617,-12,"Automotive","Europe & Africa","Germany"
"57",57,"Wrigley",5543,2,"FMCG","The Americas","United States"
"58",58,"Yahoo!",5256,16,"Media","The Americas","United States"
"59",59,"Avon",5213,8,"FMCG","The Americas","United States"
"60",60,"Colgate",5186,5,"FMCG","The Americas","United States"
"61",61,"KFC",5112,0,"Restaurants","The Americas","United States"
"62",62,"Kodak",4979,-5,"Electronics","The Americas","United States"
"63",63,"Pizza Hut",4963,-2,"Restaurants","The Americas","United States"
"64",64,"Kleenex",4922,1,"FMCG","The Americas","United States"
"65",65,"Chanel",4778,8,"Luxury","Europe & Africa","France"
"66",66,"Nestlé",4744,5,"FMCG","Europe & Africa","Switzerland"
"67",67,"Danone",4513,1,"FMCG","Europe & Africa","France"
"68",68,"Amazon",4248,2,"Retail","The Americas","United States"
"69",69,"Kraft",4238,3,"FMCG","The Americas","United States"
"70",70,"Caterpillar",4085,7,"Diversified","The Americas","United States"
"71",71,"adidas",4033,8,"Sporting Goods","Europe & Africa","Germany"
"72",72,"Rolex",3906,5,"Luxury","Europe & Africa","Switzerland"
"73",73,"Motorola",3877,11,"Electronics","The Americas","United States"
"74",74,"Reuters",3866,5,"Media","Europe & Africa","United Kingdom"
"75",75,"BP",3802,4,"Energy","Europe & Africa","United Kingdom"
"76",76,"Porsche",3777,4,"Automotive","Europe & Africa","Germany"
"77",77,"Zara",3730,0,"Apparel","Europe & Africa","Spain"
"78",78,"Panasonic",3714,7,"Electronics","Asia Pacific","Japan"
"79",79,"Audi",3686,12,"Automotive","Europe & Africa","Germany"
"80",80,"Duracell",3679,9,"FMCG","The Americas","United States"
"81",81,"Tiffany & Co.",3618,-1,"Luxury","The Americas","United States"
"82",82,"Hermès",3540,5,"Luxury","Europe & Africa","France"
"83",83,"Hertz",3521,3,"Automotive","The Americas","United States"
"84",84,"Hyundai",3480,0,"Automotive","Asia Pacific","South Korea"
"85",85,"Nissan",3203,13,"Automotive","Asia Pacific","Japan"
"86",86,"Hennessy",3201,4,"Alcohol","Europe & Africa","France"
"87",87,"ING",3177,11,"Financial Services","Europe & Africa","Netherlands"
"88",88,"Smirnoff",3097,4,"Alcohol","Europe & Africa","United Kingdom"
"89",89,"Cartier",3050,11,"Luxury","Europe & Africa","France"
"90",90,"Shell",3048,2,"Energy","Europe & Africa","Netherlands"
"91",91,"Johnson & Johnson",3040,3,"FMCG","The Americas","United States"
"92",92,"Moët & Chandon",2991,5,"Alcohol","Europe & Africa","France"
"93",93,"Prada",2760,7,"Luxury","Europe & Africa","Italy"
"94",94,"Bulgari",2715,0,"Luxury","Europe & Africa","Italy"
"95",95,"Armani",2677,2,"Luxury","Europe & Africa","Italy"
"96",96,"Levi's",2655,-11,"Apparel","The Americas","United States"
"97",97,"LG",2645,0,"Electronics","Asia Pacific","South Korea"
"98",98,"Nivea",2576,7,"FMCG","Europe & Africa","Germany"
"99",99,"Starbucks",2576,7,"Restaurants","The Americas","United States"
"100",100,"Heineken",2357,-1,"Alcohol","Europe & Africa","Netherlands"
