"","Ranking_2015","Brand","BrandValue_2015","PercentChangeinBV_2015","Sector","Region","Country"
"1",1,"Apple",170276,43,"Technology","The Americas","United States"
"2",2,"Google",120314,12,"Technology","The Americas","United States"
"3",3,"Coca-Cola",78423,-4,"Beverages","The Americas","United States"
"4",4,"Microsoft",67670,11,"Technology","The Americas","United States"
"5",5,"IBM",65095,-10,"Business Services","The Americas","United States"
"6",6,"Toyota",49048,16,"Automotive","Asia Pacific","Japan"
"7",7,"Samsung",45297,0,"Technology","Asia Pacific","South Korea"
"8",8,"GE",42267,-7,"Diversified","The Americas","United States"
"9",9,"McDonald's",39809,-6,"Restaurants","The Americas","United States"
"10",10,"Amazon",37948,29,"Retail","The Americas","United States"
"11",11,"BMW",37212,9,"Automotive","Europe & Africa","Germany"
"12",12,"Mercedes-Benz",36711,7,"Automotive","Europe & Africa","Germany"
"13",13,"Disney",36514,13,"Media","The Americas","United States"
"14",14,"Intel",35415,4,"Technology","The Americas","United States"
"15",15,"Cisco",29854,-3,"Technology","The Americas","United States"
"16",16,"Oracle",27283,5,"Technology","The Americas","United States"
"17",17,"Nike",23070,16,"Sporting Goods","The Americas","United States"
"18",18,"HP",23056,-3,"Technology","The Americas","United States"
"19",19,"Honda",22975,6,"Automotive","Asia Pacific","Japan"
"20",20,"Louis Vuitton",22250,-1,"Luxury","Europe & Africa","France"
"21",21,"H&M",22222,5,"Apparel","Europe & Africa","Sweden"
"22",22,"Gillette",22218,-3,"FMCG","The Americas","United States"
"23",23,"Facebook",22029,54,"Technology","The Americas","United States"
"24",24,"Pepsi",19622,3,"Beverages","The Americas","United States"
"25",25,"American Express",18922,-3,"Financial Services","The Americas","United States"
"26",26,"SAP",18768,8,"Technology","Europe & Africa","Germany"
"27",27,"IKEA",16541,4,"Retail","Europe & Africa","Sweden"
"28",28,"Pampers",15267,8,"FMCG","The Americas","United States"
"29",29,"UPS",14723,2,"Logistics","The Americas","United States"
"30",30,"Zara",14031,16,"Apparel","Europe & Africa","Spain"
"31",31,"Budweiser",13943,7,"Alcohol","The Americas","United States"
"32",32,"eBay",13940,-3,"Retail","The Americas","United States"
"33",33,"J.P. Morgan",13749,10,"Financial Services","The Americas","United States"
"34",34,"Kellogg's",12637,-6,"FMCG","The Americas","United States"
"35",35,"Volkswagen",12545,-9,"Automotive","Europe & Africa","Germany"
"36",36,"NESCAFÉ",12257,7,"Beverages","Europe & Africa","Switzerland"
"37",37,"HSBC",11656,-11,"Financial Services","Europe & Africa","United Kingdom"
"38",38,"Ford",11578,6,"Automotive","The Americas","United States"
"39",39,"Hyundai",11293,8,"Automotive","Asia Pacific","South Korea"
"40",40,"Canon",11278,-4,"Electronics","Asia Pacific","Japan"
"41",41,"Hermès",10944,22,"Luxury","Europe & Africa","France"
"42",42,"Accenture",10800,9,"Business Services","The Americas","United States"
"43",43,"L'Oréal",10798,6,"FMCG","Europe & Africa","France"
"44",44,"Audi",10328,5,"Automotive","Europe & Africa","Germany"
"45",45,"Citi",9784,12,"Financial Services","The Americas","United States"
"46",46,"Goldman Sachs",9526,9,"Financial Services","The Americas","United States"
"47",47,"Philips",9400,-8,"Electronics","Europe & Africa","Netherlands"
"48",48,"AXA",9254,14,"Financial Services","Europe & Africa","France"
"49",49,"Nissan",9082,19,"Automotive","Asia Pacific","Japan"
"50",50,"Gucci",8882,-14,"Luxury","Europe & Africa","Italy"
"51",51,"Danone",8632,5,"FMCG","Europe & Africa","France"
"52",52,"Nestlé",8588,7,"FMCG","Europe & Africa","Switzerland"
"53",53,"Siemens",8553,-1,"Diversified","Europe & Africa","Germany"
"54",54,"Allianz",8498,10,"Financial Services","Europe & Africa","Germany"
"55",55,"Colgate",8464,3,"FMCG","The Americas","United States"
"56",56,"Porsche",8055,12,"Automotive","Europe & Africa","Germany"
"57",57,"Cartier",7924,6,"Luxury","Europe & Africa","France"
"58",58,"Sony",7702,-5,"Electronics","Asia Pacific","Japan"
"59",59,"3M",7243,17,"Diversified","The Americas","United States"
"60",60,"Morgan Stanley",7083,12,"Financial Services","The Americas","United States"
"61",61,"Visa",6870,15,"Financial Services","The Americas","United States"
"62",62,"adidas",6811,-8,"Sporting Goods","Europe & Africa","Germany"
"63",63,"Thomson Reuters",6583,-12,"Media","The Americas","Canada"
"64",64,"Discovery",6509,6,"Media","The Americas","United States"
"65",65,"Panasonic",6436,2,"Electronics","Asia Pacific","Japan"
"66",66,"Tiffany & Co.",6306,6,"Luxury","The Americas","United States"
"67",67,"Starbucks",6266,16,"Restaurants","The Americas","United States"
"68",68,"Adobe",6257,17,"Technology","The Americas","United States"
"69",69,"Prada",6222,4,"Luxury","Europe & Africa","Italy"
"70",70,"Santander",6097,13,"Financial Services","Europe & Africa","Spain"
"71",71,"Xerox",6033,-9,"Business Services","The Americas","United States"
"72",72,"Caterpillar",5976,-12,"Diversified","The Americas","United States"
"73",73,"Burberry",5873,5,"Luxury","Europe & Africa","United Kingdom"
"74",74,"Kia",5666,5,"Automotive","Asia Pacific","South Korea"
"75",75,"KFC",5639,-7,"Restaurants","The Americas","United States"
"76",76,"Mastercard",5551,17,"Financial Services","The Americas","United States"
"77",77,"Johnson & Johnson",5533,7,"FMCG","The Americas","United States"
"78",78,"Shell",5530,-12,"Energy","Europe & Africa","Netherlands"
"79",79,"Harley-Davidson",5460,14,"Automotive","The Americas","United States"
"80",80,"DHL",5391,6,"Logistics","The Americas","United States"
"81",81,"Sprite",5365,-5,"Beverages","The Americas","United States"
"82",82,"LEGO",5362,0,"FMCG","Europe & Africa","Denmark"
"83",83,"John Deere",5208,2,"Diversified","The Americas","United States"
"84",84,"Jack Daniel's",5161,6,"Alcohol","The Americas","United States"
"85",85,"Chevrolet",5133,2,"Automotive","The Americas","United States"
"86",86,"FedEx",5130,16,"Logistics","The Americas","United States"
"87",87,"Land Rover",5109,14,"Automotive","Europe & Africa","United Kingdom"
"88",88,"Huawei",4952,15,"Technology","Asia Pacific","China"
"89",89,"Heineken",4822,14,"Alcohol","Europe & Africa","Netherlands"
"90",90,"MTV",4763,-7,"Media","The Americas","United States"
"91",91,"Ralph Lauren",4629,-7,"Apparel","The Americas","United States"
"92",92,"Johnnie Walker",4540,-6,"Alcohol","Europe & Africa","United Kingdom"
"93",93,"Corona",4456,2,"Alcohol","The Americas","Mexico"
"94",94,"Smirnoff",4407,-4,"Alcohol","Europe & Africa","United Kingdom"
"95",95,"Kleenex",4330,-7,"FMCG","The Americas","United States"
"96",96,"Hugo Boss",4270,3,"Apparel","Europe & Africa","Germany"
"97",97,"PayPal",4251,0,"Financial Services","The Americas","United States"
"98",98,"MINI",4243,0,"Automotive","Europe & Africa","United Kingdom"
"99",99,"Moët & Chandon",4131,0,"Alcohol","Europe & Africa","France"
"100",100,"Lenovo",4114,0,"Technology","Asia Pacific","China"
