"","Ranking_2012","Brand","BrandValue_2012","PercentChangeinBV_2012","Sector","Region","Country"
"1",1,"Coca-Cola",77839,8,"Beverages","The Americas","United States"
"2",2,"Apple",76568,129,"Technology","The Americas","United States"
"3",3,"IBM",75532,8,"Business Services","The Americas","United States"
"4",4,"Google",69726,26,"Technology","The Americas","United States"
"5",5,"Microsoft",57853,-2,"Technology","The Americas","United States"
"6",6,"GE",43682,2,"Diversified","The Americas","United States"
"7",7,"McDonald's",40062,13,"Restaurants","The Americas","United States"
"8",8,"Intel",39385,12,"Technology","The Americas","United States"
"9",9,"Samsung",32893,40,"Technology","Asia Pacific","South Korea"
"10",10,"Toyota",30280,9,"Automotive","Asia Pacific","Japan"
"11",11,"Mercedes-Benz",30097,10,"Automotive","Europe & Africa","Germany"
"12",12,"BMW",29052,18,"Automotive","Europe & Africa","Germany"
"13",13,"Disney",27438,-5,"Media","The Americas","United States"
"14",14,"Cisco",27197,7,"Technology","The Americas","United States"
"15",15,"HP",26087,-8,"Technology","The Americas","United States"
"16",16,"Gillette",24898,4,"FMCG","The Americas","United States"
"17",17,"Louis Vuitton",23577,2,"Luxury","Europe & Africa","France"
"18",18,"Oracle",22126,28,"Technology","The Americas","United States"
"19",19,"Nokia",21009,-16,"Technology","Europe & Africa","Finland"
"20",20,"Amazon",18625,46,"Retail","The Americas","United States"
"21",21,"Honda",17280,-11,"Automotive","Asia Pacific","Japan"
"22",22,"Pepsi",16594,14,"Beverages","The Americas","United States"
"23",23,"H&M",16571,1,"Apparel","Europe & Africa","Sweden"
"24",24,"American Express",15702,8,"Financial Services","The Americas","United States"
"25",25,"SAP",15641,8,"Technology","Europe & Africa","Germany"
"26",26,"Nike",15126,4,"Sporting Goods","The Americas","United States"
"27",27,"UPS",13088,4,"Logistics","The Americas","United States"
"28",28,"IKEA",12808,8,"Retail","Europe & Africa","Sweden"
"29",29,"Kellogg's",12068,6,"FMCG","The Americas","United States"
"30",30,"Canon",12029,3,"Electronics","Asia Pacific","Japan"
"31",31,"Budweiser",11872,-3,"Alcohol","The Americas","United States"
"32",32,"J.P. Morgan",11471,-8,"Financial Services","The Americas","United States"
"33",33,"HSBC",11378,-4,"Financial Services","Europe & Africa","United Kingdom"
"34",34,"Pampers",11296,0,"FMCG","The Americas","United States"
"35",35,"NESCAFÉ",11089,-8,"Beverages","Europe & Africa","Switzerland"
"36",36,"eBay",10947,12,"Retail","The Americas","United States"
"37",37,"Zara",9488,18,"Apparel","Europe & Africa","Spain"
"38",38,"Gucci",9446,8,"Luxury","Europe & Africa","Italy"
"39",39,"Volkswagen",9252,18,"Automotive","Europe & Africa","Germany"
"40",40,"Sony",9111,-8,"Electronics","Asia Pacific","Japan"
"41",41,"Philips",9066,5,"Electronics","Europe & Africa","Netherlands"
"42",42,"L'Oréal",8821,1,"FMCG","Europe & Africa","France"
"43",43,"Accenture",8745,9,"Business Services","The Americas","United States"
"44",44,"Thomson Reuters",8444,-11,"Media","The Americas","Canada"
"45",45,"Ford",7958,6,"Automotive","The Americas","United States"
"46",46,"Heinz",7722,1,"FMCG","The Americas","United States"
"47",47,"Colgate",7643,7,"FMCG","The Americas","United States"
